restaurant_id,profile_key,label,national_avg,annualized_post_ep,sim_day,days_from_adoption,rolling_365_turnover_pct
101,fast_casual,Fast Casual / QSR,130,47.6,548,-182,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,549,-181,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,550,-180,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,551,-179,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,552,-178,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,553,-177,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,554,-176,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,555,-175,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,556,-174,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,557,-173,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,558,-172,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,559,-171,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,560,-170,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,561,-169,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,562,-168,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,563,-167,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,564,-166,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,565,-165,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,566,-164,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,567,-163,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,568,-162,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,569,-161,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,570,-160,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,571,-159,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,572,-158,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,573,-157,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,574,-156,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,575,-155,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,576,-154,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,577,-153,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,578,-152,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,579,-151,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,580,-150,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,581,-149,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,582,-148,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,583,-147,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,584,-146,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,585,-145,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,586,-144,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,587,-143,107.1
101,fast_casual,Fast Casual / QSR,130,47.6,588,-142,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,589,-141,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,590,-140,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,591,-139,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,592,-138,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,593,-137,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,594,-136,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,595,-135,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,596,-134,100.0
101,fast_casual,Fast Casual / QSR,130,47.6,597,-133,97.6
101,fast_casual,Fast Casual / QSR,130,47.6,598,-132,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,599,-131,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,600,-130,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,601,-129,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,602,-128,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,603,-127,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,604,-126,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,605,-125,92.9
101,fast_casual,Fast Casual / QSR,130,47.6,606,-124,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,607,-123,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,608,-122,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,609,-121,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,610,-120,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,611,-119,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,612,-118,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,613,-117,97.6
101,fast_casual,Fast Casual / QSR,130,47.6,614,-116,95.2
101,fast_casual,Fast Casual / QSR,130,47.6,615,-115,97.6
101,fast_casual,Fast Casual / QSR,130,47.6,616,-114,100.0
101,fast_casual,Fast Casual / QSR,130,47.6,617,-113,100.0
101,fast_casual,Fast Casual / QSR,130,47.6,618,-112,102.4
101,fast_casual,Fast Casual / QSR,130,47.6,619,-111,104.8
101,fast_casual,Fast Casual / QSR,130,47.6,620,-110,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,621,-109,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,622,-108,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,623,-107,111.9
101,fast_casual,Fast Casual / QSR,130,47.6,624,-106,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,625,-105,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,626,-104,111.9
101,fast_casual,Fast Casual / QSR,130,47.6,627,-103,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,628,-102,109.5
101,fast_casual,Fast Casual / QSR,130,47.6,629,-101,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,630,-100,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,631,-99,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,632,-98,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,633,-97,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,634,-96,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,635,-95,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,636,-94,114.3
101,fast_casual,Fast Casual / QSR,130,47.6,637,-93,116.7
101,fast_casual,Fast Casual / QSR,130,47.6,638,-92,116.7
101,fast_casual,Fast Casual / QSR,130,47.6,639,-91,116.7
101,fast_casual,Fast Casual / QSR,130,47.6,640,-90,116.7
