restaurant_id,manager_id,day_index,overall_rating,felt_smooth,felt_understaffed,felt_chaotic,felt_overstaffed
101,MGR_101,1,3,False,False,False,False
101,MGR_101,2,4,True,False,False,False
101,MGR_101,3,3,False,False,False,False
101,MGR_101,4,3,False,False,False,False
101,MGR_101,5,4,True,False,False,False
101,MGR_101,6,4,True,False,False,False
101,MGR_101,7,3,False,False,False,True
101,MGR_101,8,4,True,False,False,False
101,MGR_101,9,3,False,False,False,False
101,MGR_101,10,4,False,False,False,False
101,MGR_101,11,5,True,False,False,False
101,MGR_101,12,3,False,False,False,False
101,MGR_101,13,4,True,False,False,False
101,MGR_101,14,4,True,False,False,False
101,MGR_101,15,3,False,False,False,False
101,MGR_101,16,3,False,False,False,False
101,MGR_101,17,4,False,False,False,False
101,MGR_101,18,4,True,False,False,False
101,MGR_101,19,4,False,False,False,False
101,MGR_101,20,4,False,False,False,False
101,MGR_101,21,4,False,False,False,False
101,MGR_101,22,4,False,False,False,False
101,MGR_101,23,4,True,False,False,False
101,MGR_101,24,4,True,False,False,False
101,MGR_101,25,4,False,False,False,False
101,MGR_101,26,4,True,False,False,False
101,MGR_101,27,4,False,False,False,False
101,MGR_101,28,3,False,False,False,False
101,MGR_101,29,3,True,False,False,False
101,MGR_101,30,4,True,False,False,False
101,MGR_101,31,4,True,False,False,False
101,MGR_101,32,4,True,False,False,False
101,MGR_101,33,4,True,False,False,False
101,MGR_101,34,3,False,False,False,False
101,MGR_101,35,4,False,False,False,False
101,MGR_101,36,4,True,False,False,False
101,MGR_101,37,3,False,False,False,False
101,MGR_101,38,4,True,False,False,False
101,MGR_101,39,3,False,False,False,False
101,MGR_101,40,4,True,False,False,False
101,MGR_101,41,4,False,False,False,False
101,MGR_101,42,4,True,False,False,False
101,MGR_101,43,4,True,False,False,False
101,MGR_101,44,4,False,False,False,False
101,MGR_101,45,4,True,False,False,False
101,MGR_101,46,4,True,False,False,False
101,MGR_101,48,4,True,False,False,False
101,MGR_101,49,4,True,False,False,False
101,MGR_101,50,3,False,False,False,False
101,MGR_101,51,4,False,False,False,False
101,MGR_101,52,3,True,False,False,False
101,MGR_101,53,4,True,False,False,False
101,MGR_101,54,4,True,False,False,False
101,MGR_101,55,3,False,False,False,False
101,MGR_101,56,4,True,False,False,False
101,MGR_101,57,3,False,False,False,False
101,MGR_101,58,4,True,False,False,False
101,MGR_101,59,4,True,False,False,False
101,MGR_101,60,4,True,False,False,False
101,MGR_101,61,4,True,False,False,False
101,MGR_101,62,4,False,False,False,False
101,MGR_101,63,3,False,False,False,False
101,MGR_101,64,4,False,False,False,False
101,MGR_101,65,3,False,False,False,True
101,MGR_101,66,4,True,False,False,False
101,MGR_101,67,3,False,False,False,False
101,MGR_101,68,4,True,False,False,False
